,Case,Year,Month,time_hr,time_cat,Type,Activity,Area,Location,Sex,Age,Fatal,Species,Species_Extracted
700,1956.06.28,1956,6,,,Unprovoked,"Line fishing from Lakotoi, saw shoal of fish, dived overboard, had speared second fish & surfaced for air",Torres Strait,"Fishman's Island (near Port Moresby, PNG) ",M,unknown,N,2.3 m [7'] shark,
701,1956.05.00,1956,5,,,Unprovoked,Diving,Torres Strait,unknown,unknown,unknown,N,unknown,
702,1956.03.11,1956,3,,,Unprovoked,Bathing,New South Wales,"Cronulla, near Sydney",M,13,N,unknown,
703,1956.03.04,1956,3,16.0,Late afternoon,Unprovoked,"Swimming, attacked at  surf carnival",Victoria,"Portsea Beach, near entrance to Port Phillip Bay",M,26,Y,3.7 m [12'] shark & may have been another shark nearby,
704,1956.03.00.b,1956,3,,,Unprovoked,Attempting to set underwater endurance record,Western Australia,Fremantle,M,21,N,unknown,
705,1956.02.26,1956,2,11.0,Midday,Unprovoked,Diving into water,Queensland,Pioneer River near Mackay,M,15,Y,1.8 m [6'] shark,
706,1956.02.10.R,1956,2,,,Unprovoked,Swimming,Victoria,Cowes,M,8,N,unknown,
707,1956.01.16.R,1956,1,,,Unprovoked,Diving for trochus,Torres Strait,Palm Island,M,18,N,unknown,
708,1956.01.05,1956,1,,,Unprovoked,Surf skiing,New South Wales,North Bondi,M,25,N,5' to 6' shark,
709,1955.12.31,1955,12,,,Boating,Ocean racing,Tasmania,unknown,unknown,unknown,N,unknown,
710,1955.10.16,1955,10,,,Provoked,Spearfishing & lassoed shark,Queensland,"Tully, North Queensland",M,28,N,6' shark,
711,1955.08.00.a,1955,8,,,Boating,Fishing,South Australia,Port Augusta,unknown,unknown,N,Tooth fragments recovered from hull,
712,1955.03.09,1955,3,18.0,Nightfall,Unprovoked,Body surfing,New South Wales,Wamberal,M,22,Y,unknown,
713,1955.03.00.a,1955,3,11.0,Midday,Provoked,"Competing in U/W endurance record, standing beside drum in 10' of water",Western Australia,Woodmanï¿½s Point,M,25,N,unknown,
714,1955.02.05,1955,2,14.0,Afternoon,Unprovoked,Swimming,New South Wales,"Sugarloaf Bay, Middle Harbor, Sydney",M,25,Y,3.6 m  white shark  (or bronze whaler),white
715,1955.02.01.,1955,2,,,Boating,Rowing,New South Wales,Parramatta River,unknown,unknown,N,unknown,
716,1955.02.00,1955,2,,,Boating,Rowing toward snapper grounds,New South Wales,Coffï¿½s Harbor,unknown,unknown,N,4 m [13'] shark x 6,
717,1955.01.17,1955,1,14.0,Afternoon,Unprovoked,Hunting lobsters in 2.4 m of water,New South Wales,"Wyargine Point, Edwards Beach, Balmoral Beach, Sydney",M,13,Y,"Bronze whaler shark,3.7 m [12'] ",whaler
718,1954.12.11,1954,12,11.0,Midday,Unprovoked,Swimming,Victoria,Point Lonsdale,M,23,Y,unknown,
719,1954.09.04,1954,9,,,Unprovoked,"Spearfishing, hunting crayfish",Torres Strait,"Darnley Island, Torres Strait",M,35,Y,9' shark,
720,1954.06.27,1954,6,16.0,Late afternoon,Unprovoked,Pearl diving from lugger Whyalla,Queensland,Fitzroy Island,M,30,N,2.4 m [8']  shark,
721,1954.02.27,1954,2,17.0,Dusk,Unprovoked,Swimming,New South Wales,"The Entrance, near Gosford",M,23,Y,unknown,
722,1954.01.30,1954,1,,,Unprovoked,Swimming,New South Wales,Avoca Beach,M,unknown,N,unknown,
723,1954.01.22.b,1954,1,,,Unprovoked,Spearfishing,Torres Strait,Naghir Island,M,30,N,unknown,
724,1953.12.13,1953,12,12.0,Midday,Unprovoked,Swimming or wading out  to warn bathers that a shark had been seen,Queensland,Palm Beach,M,16,N,unknown,
725,1953.12.00,1953,12,,,Unprovoked,Surf skiing,New South Wales,Maroubra Beach,M,unknown,N,3.7 [12'] shark,
726,1953.10.00,1953,10,,,Provoked,unknown,New South Wales,"Boat Harbour, north of Cronulla",M,unknown,N,unknown,
727,1953.06.00,1953,6,,,Provoked,Landing hooked shark in boat,Queensland,unknown,M,unknown,N,"2 m [6'9""] shark ",
728,1953.04.07,1953,4,,,Boating,unknown,New South Wales,1.5 miles off shore,unknown,unknown,N,unknown,
729,1953.03.22,1953,3,,,Unprovoked,Spearfishing,New South Wales,"Long Reef, Collaroy",M,23,N,unknown,
730,1953.03.19.R,1953,3,,,Unprovoked,Spearfishing,South Australia,"Schnapper Rock, Kirton Point",M,unknown,N,8' shark,
731,1953.02.15,1953,2,18.0,Nightfall,Unprovoked,Spearfishing,New South Wales,Cave at Shell Harbour,M,25,N,Wobbegong shark,wobbegong
732,1953.01.20,1953,1,,,Provoked,Fishing,South Australia,Largs Bay,M,61,N,unknown,
733,1953.01.08,1953,1,14.0,Afternoon,Boating,Fishing,Tasmania,Wynyard,unknown,unknown,N,10' to 12' shark,
734,1952.12.24,1952,12,,,Unprovoked,Lying prone on surfboard,Victoria,"Portsea Beach, near Melbourne",M,unknown,N,unknown,
735,1952.12.21,1952,12,19.0,Evening,Unprovoked,"Fishing, setting nets",South Australia,Cape Douglas,M,25,N,2.4 m [8'] shark,
736,1952.05.07.R,1952,5,,,Unprovoked,"Fishing, standing in water washing fish",Western Australia,Boyup Brook,M,unknown,N,"Carpet shark, 5' ",carpet
737,1952.04.06,1952,4,8.0,Morning,Boating,Fishing for white sharks,South Australia,Streaky Bay,unknown,unknown,N,"White shark, 15'3"", 2,333-lb ",white
738,1952.01.07,1952,1,,,Unprovoked,Surfing,New South Wales,Evans Head,M,unknown,N,8' shark,
739,1951.12.16,1951,12,,,Provoked,Spearfishing,New South Wales,North Bondi,M,18,N,"Wobbegong shark, 1.8 m [6'] ",wobbegong
740,1951.12.06,1951,12,16.0,Late afternoon,Unprovoked,Treading water,New South Wales,"Merewether Beach, Newcastle",M,21,Y,2.4 m [8']  shark,
741,1951.10.22,1951,10,19.0,Evening,Unprovoked,Swimming,Queensland,"Ocean baths, Kissing Point Beach ",M,42,Y,unknown,
742,1951.09.02-R,1951,9,,,Unprovoked,"Body found on deserted luxury yacht, 38ï¿½ Christine",Queensland,Fitzroy River near Rockhampton,M,56,Y,unknown,
743,1951.03.26,1951,3,14.0,Afternoon,Provoked,Fell off surf ski,New South Wales,Avalon,M,23,N,"Wobbegong shark, 4'",wobbegong
744,1951.03.24,1951,3,,,Unprovoked,"Fishing, casting in the surf",New South Wales,Sydney,M,unknown,N,5.5 m [18'] shark,
745,1951.02.03,1951,2,,,Unprovoked,Spearfishing (but treading water on the surface),New South Wales,"Windang, near the entrance to Lake Illawarra",M,20,N,unknown,
746,1951.02.01,1951,2,,,Unprovoked,Swimming,New South Wales,Bondi Beach,M,14,N,1.2 m [4'] shark,
747,1951.01.03,1951,1,,,unknown,unknown,New South Wales,Hawkesbury River,M,unknown,Y,unknown,
748,1950.12.31,1950,12,,,Unprovoked,Paddling a surfboat,Queensland,Kirra,M,19,N,"Nurse shark, 10' ",nurse
749,1950.12.19.R,1950,12,,,Unprovoked,Swimming,New South Wales,Jervis Bay,unknown,unknown,N,"Wobbegong shark, 6'",wobbegong
750,1950.12.16,1950,12,16.0,Late afternoon,Unprovoked,Treading water,Queensland,"Palm Beach North, 5 miles north of Burleigh Heads, Brisbane",M,20,Y,unknown,
751,1950.11.29,1950,11,,,Provoked,Diving ,Northern Territory,Goulburn Island,M,17,N,2' shark,
752,1950.11.25,1950,11,17.0,Dusk,Unprovoked,Body surfing,Queensland,"Burleigh Heads, Brisbane",M,21,N,"White shark, 3m, seen in area and hooked 3 days later",white
753,1950.11.12,1950,11,,,Boating,Paddling a canoe,Queensland,Yeppoon,M,18,N,10' shark,
754,1950.10.04,1950,10,21.0,Night,Unprovoked,Fishing,Queensland,"Peterson's Beach, Sarina",M,25,N,4' shark,
755,1950.07.27.R,1950,7,,,Boating,Fishing,South Australia,Streaky Bay,unknown,unknown,N,17' white shark,white
756,1950.04.09.b,1950,4,,,Sea Disaster,"Sea Disaster, sinking of the fishing  launch Mavis",Queensland,Cooper's Point,M,50,Y,unknown,
757,1950.03.01,1950,3,,,unknown,Suicide,Western Australia,"City Beach, Perth",M,unknown,Y,"Szot's right hand found in a 4.5' [14.5'] tiger shark caught 3/9/1950 at Safety Bay, south of Freemantle",tiger
758,1950.02.18.R,1950,2,,,Unprovoked,Spearfishing,Western Australia,"Cottesloe, Perth",M,unknown,N,small carpet shark,carpet
759,1950.01.12.R,1950,1,,,Unprovoked,Swimming,Victoria,South Werribee Beach,M,unknown,N,unknown,
760,1950.00.00.m,1950,5,,,Boating,Sitting on side of dinghy mending a net,Tasmania,Triabunna,M,unknown,N,"White shark, 3.6 m,  420 kg male",white
761,1949.12.00.a,1949,12,,,Unprovoked,Lying on the bottom of a 16' dinghy,Victoria,Seaholme,M,35,N,"Grey nurse shark, 2.6 m [8.5']  ",nurse
762,1949.11.20,1949,11,14.0,Afternoon,Unprovoked,Free diving or wading back to shore,New South Wales,"Kurnell, Botany Bay ",M,36,N,6' shark,
763,1949.11.12,1949,11,,,unknown,No details,Victoria,Port Phillip Bay,M,unknown,Y,unknown,
764,1949.08.28.b,1949,8,13.0,Afternoon,Unprovoked,Swimming,Queensland,Yorkeyï¿½s Knob Beach near Cairns,M,21,N,unknown,
765,1949.08.28.a,1949,8,13.0,Afternoon,Unprovoked,Swimming,Queensland,Yorkeyï¿½s Knob Beach near Cairns,M,34,Y,unknown,
766,1949.08.16,1949,8,16.0,Late afternoon,Unprovoked,Swimming near shore,Tasmania,Flinders Island,M,18,N,unknown,
767,1949.05.16,1949,5,,,Unprovoked,Bathing,Western Australia,Broome,F,22,N,"Whaler shark, 2.7 m [9'], 350- to 450-lb  identified by G.P. Whitley",whaler
768,1949.05.13,1949,5,,,Provoked,"Examining netted shark, that had been shot",New South Wales,Nelson's Bay,M,26,N,unknown,
769,1949.04.18,1949,4,,,Provoked,Fishing,Queensland,"Nerang River, Southpot",M,unknown,N,3' shark,
770,1949.04.17,1949,4,13.0,Afternoon,Unprovoked,Bathing in water 0.9 m deep,Queensland,"Ellis Beach, 20 miles from Cairns",M,13,Y,"3.3 m [10'9""] shark",
771,1949.03.00,1949,3,,,Boating,unknown,South Australia,18 miles south of Port Augusta,unknown,unknown,unknown,unknown,
772,1949.01.23,1949,1,15.0,Late afternoon,Unprovoked,Lifesaving exhibition,New South Wales,"Bar Beach, Newcastle ",M,20,Y,"White shark, 3.6 m [11'9""] ",white
773,1949.01.14,1949,1,14.0,Afternoon,unknown,Surfing,New South Wales,Off North Bondi,M,32,N,unknown,
774,1949.01.13,1949,1,,,Unprovoked,Surf skiing,New South Wales,"Mona Vale, near Sydney",M,unknown,N,unknown,
775,1949.01.05,1949,1,,,unknown,unknown,Western Australia,"Leighton Beach, North Fremantle",unknown,unknown,unknown,"Tiger shark, 2.4 m [8']",tiger
776,1948.12.27,1948,12,,,Unprovoked,Swimming,Western Australia,Lancelin Island,M,17,Y,His hand was found in a 2.4 m [8'] tiger shark caught 1/5/1949,tiger
777,1948.12.26,1948,12,11.0,Midday,Unprovoked,"Treading water, waiting for a wave",Queensland,"Kingï¿½s Beach, Caloundra",M,28,Y,unknown,
778,1948.12.10,1948,12,,,Unprovoked,Fishing,Queensland,Rib Reef off Townsville,M,unknown,N,unknown,
779,1948.11.18,1948,11,,,Unprovoked,Pearl diving,Torres Strait,"Saibai Island, 80 miles north of Cape York",M,41,N,unknown,
780,1948.02.12,1948,2,,,Unprovoked,Swimming,New South Wales,"Stockton Beach, Newcastle",M,16,Y,3.7 m [12'] shark,
781,1948.01.25,1948,1,,,Unprovoked,Surf skiing,New South Wales,"Mona Vale, near Sydney",M,unknown,N,6' shark,
782,1947.12.21,1947,12,17.0,Dusk,Unprovoked,Fishing,New South Wales,"Watson Taylor's Lake, 25 miles south of Port Macquarie",M,9,N,Grey nurse shark,nurse
783,1947.11.23,1947,11,,,Boating,Fishing,South Australia,3 miles out to sea off Glenelg,unknown,unknown,N,5.5 m [18'] shark,
784,1947.11.14.b,1947,11,17.0,Dusk,Unprovoked,Fishing from surf ski,New South Wales,"Knobby's Beach, Newcastle",M,17,N,unknown,
785,1947.11.14.a,1947,11,17.0,Dusk,Unprovoked,Fishing from surf ski,New South Wales,"Knobby's Beach, Newcastle",M,16,N,unknown,
786,1947.11.08.b,1947,11,16.0,Late afternoon,Unprovoked,Swimming,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",M,12,Y,unknown,
787,1947.11.08.a,1947,11,16.0,Late afternoon,Unprovoked,Swimming,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",M,13,N,unknown,
788,1947.11.00,1947,11,,,Unprovoked,unknown,Queensland,Moreton Bay,unknown,78,Y,unknown,
789,1947.10.28,1947,10,,,Unprovoked,Fishing in waist-deep water,Northern Territory,"Mornington Island, Gulf of Carpentaria",M,unknown,N,unknown,
790,1947.07.24.R,1947,7,,,Unprovoked,Diving,Northern Territory,Darwin Harbour,M,unknown,N,"Most likely, a small shark",small
791,1947.06.16,1947,6,,,Boating,Fishing,New South Wales,Coogee,unknown,unknown,N,"Tiger shark, 14' ",tiger
792,1947.04.06,1947,4,,,Unprovoked,Surfing,New South Wales,Palm Beach,M,17,N,unknown,
793,1947.02.23,1947,2,,,Boating,Fishing,Queensland,Palm Beach,unknown,unknown,N,unknown,
794,1947.01.14,1947,1,,,Boating,Rowing,New South Wales,"Berry's Bay, Sydney Harbour",unknown,17,N,"4.5  m [14'9""] shark",
795,1946.12.28,1946,12,,,Unprovoked,Swimming near jetty with 2' piece of wood,South Australia,Glenelg,M,23,N,unknown,
796,1946.12.24.R,1946,12,,,Boating,unknown,Queensland,"Auckland Creek, Gladstone",unknown,unknown,N,7' shark,
797,1946.11.20,1946,11,,,Unprovoked,Pearl diving from lugger,Torres Strait,40 miles off Thursday Island,M,30,Y,unknown,
798,1946.10.14,1946,10,,,Unprovoked,Swimming,New South Wales,"Markï¿½s Point, Swan Bay, Lake Macquarie",M,15,N,unknown,
799,1946.08.18,1946,8,15.0,Late afternoon,Unprovoked,Swimming after a tennis ball,Queensland,"Ellis Beach, 20 miles from Cairns",M,30,Y,4.3 m [14'] shark,
800,1946.04.19,1946,4,13.0,Afternoon,Unprovoked,Swimming,Queensland,"Trinity Beach, Cairns",M,17,Y,unknown,
801,1946.04.00,1946,4,,,Boating,Fishing,South Australia,Port Newby,unknown,unknown,N,6 m [20']  shark,
802,1946.03.20,1946,3,19.0,Evening,Boating,Fishing,South Australia,Grange,M,28,N,unknown,
803,1946.02.10.b,1946,2,12.0,Midday,Unprovoked,Standing,Western Australia,"City Beach, Perth",M,18,N,"White shark, 4.2 m [13'9""] ",white
804,1946.01.17,1946,1,,,Unprovoked,unknown,Queensland,Townsville,M,12,N,small shark,small
805,1946.01.05,1946,1,,,Unprovoked,Swimming,New South Wales,"Oatley Bay near Como, Georgeï¿½s River",F,14,Y,unknown,
806,1945.06.15,1945,6,16.0,Late afternoon,Unprovoked,Swimming,Queensland,"Trinity Beach, Cairns",M,unknown,Y,unknown,
807,1944.11.01,1944,11,,,unknown,Swimming,Queensland,Maroochydore Beach,M,unknown,Y,unknown,
808,1944.10.23.R,1944,10,,,Boating,Fishing,Queensland,Tewantin,unknown,unknown,N,unknown,
809,1944.01.16,1944,1,,,Boating,Fishing,Western Australia,"Cottesloe, Perth",M,unknown,N,14' shark,
810,1944.01.14,1944,1,17.0,Dusk,Unprovoked,Surfing,New South Wales,"First Beach, Forster",M,14,N,unknown,
811,1943.06.16,1943,6,,,Boating,Fishing for cod,Tasmania,Triabunna,M,18,N,"White shark, 3.9 m, 550 kg, male",white
812,1943.05.14,1943,5,4.0,Dawn,Sea Disaster,Hospital Ship Centaur torpedoed & sunk by the Japanese submarine I-177,Queensland,Off Brisbane,M,unknown,Y,unknown,
813,1942.12.26,1942,12,10.0,Morning,Unprovoked,Dog paddling or standing,New South Wales,"Bantry Bay, near Ironstone Point, Middle Harbor, Sydney",F,15,Y,Bull shark,bull
814,1942.09.12.a,1942,9,16.0,Late afternoon,Unprovoked,Treading water,Queensland,"Trinity Beach, 17 km northwast of Cairns",M,24,N,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",tiger
815,1942.05.09,1942,5,,,Unprovoked,Diving from lugger,Queensland,"Great Barrier Reef, off Cairns",M,unknown,N,unknown,
816,1942.03.04,1942,3,,,unknown,unknown,New South Wales,Georgeï¿½s River,M,18,Y,unknown,
817,1942.01.18,1942,1,,,Boating,unknown,New South Wales,Fairy Bower,unknown,unknown,N,unknown,
818,1942.01.04,1942,1,15.0,Late afternoon,Unprovoked,Swimming,New South Wales,"Egg Rock, Middle Harbor, Sydney",F,28,Y,"Bull shark, 4 m [13'] ",bull
819,1942.01.00,1942,1,,,Provoked,Surf-skiing,New South Wales,"Fairy Bower, near North Steyne",M,unknown,N,3 m [10'] shark,
821,1941.12.03,1941,12,21.0,Night,Unprovoked,Swimming,Western Australia,Carnarvon,M,10,N,unknown,
822,1941.11.19,1941,11,,,Sea Disaster,German raider Kormoran was sunk in an engagement with HMAS Sydney,Western Australia,Shark Bay,M,unknown,N,unknown,
823,1941.08.05,1941,8,,,unknown,Swimming,New South Wales,Parramata River,M,unknown,Y,unknown,
824,1941.02.13.,1941,2,,,Provoked,Fishing,New South Wales,Wollongong,M,34,N,unknown,
825,1940.12.28,1940,12,9.0,Morning,Unprovoked,Standing on sandbank,New South Wales,"Stockton Beach, Newcastle",M,23,Y,unknown,
826,1940.12.19.R,1940,12,,,Unprovoked,Fishing,Queensland,Double Island Beach,M,unknown,N,unknown,
827,1940.12.10,1940,12,,,Provoked,Collecting fish in military trap when bitten by captured shark that had been shot by soldiers with Garten,Northern Territory,Darwin,M,unknown,N,unknown,
828,1940.03.20,1940,3,,,Unprovoked,Free diving for lobster,New South Wales,Gerringong,M,unknown,N,Wobbegong shark,wobbegong
829,1940.02.20,1940,2,15.0,Late afternoon,Boating,Canoeing,New South Wales,Sydney Harbour,unknown,unknown,N,unknown,
830,1940.02.04,1940,2,14.0,Afternoon,Unprovoked,Wading,New South Wales,"North Brighton, Botany Bay",M,55,Y,unknown,
831,1940.01.29,1940,1,,,Unprovoked,Dived into the water,Queensland,Brisbane River,M,17,N,"""a small shark""",small
832,1940.01.23,1940,1,10.0,Morning,Unprovoked,Swimming,New South Wales,"North Brighton, Botany Bay",M,13,Y,3 m [10'] shark,
833,1940.01.15,1940,1,14.0,Afternoon,Unprovoked,Swimming,Queensland,"Surfers Paradise, near Southport",M,22,N,unknown,
834,1940.01.01,1940,1,,,Unprovoked,Diving for trochus,Queensland,"Malagil, Barrier Reef",M,unknown,N,unknown,
835,1939.12.28,1939,12,,,unknown,Swimming,New South Wales,"Cabramatta Creek, Georgeï¿½s River ",M,40,N,6' shark,
836,1939.12.14,1939,12,12.0,Midday,Unprovoked,Swimming ,Queensland,"Rubbish Dump Creek, Mackay",M,20,Y,2.6 m [8.5'] shark landed 2 hours later,
837,1939.11.23,1939,11,,,Boating,unknown,New South Wales,Wollongong,unknown,unknown,N,"Blue pointer, 16'",mako
838,1939.11.11,1939,11,,,Provoked,unknown,New South Wales,Maroubra,unknown,unknown,N,whaler shark,whaler
839,1939.11.09,1939,11,,,Boating,unknown,New South Wales,Wollongong,unknown,unknown,unknown,unknown,
840,1939.11.06,1939,11,,,Boating,unknown,New South Wales,Wollongong,unknown,unknown,unknown,unknown,
841,1939.10.25.R,1939,10,,,Unprovoked,"Free diving for trochus shell, swimming to dinghy",Queensland,Near Restoration Rock off Portland Roads ,M,27,N,"Tiger shark, 4.3 m [14'], 3 tooth fragments retrieved from his wounds",tiger
842,1939.09.27.R,1939,9,,,Unprovoked,Pearl diving,Torres Strait,Near Mabuiag Island,M,unknown,N,Tiger shark,tiger
843,1939.01.12,1939,1,,,Unprovoked,Scooping prawns,New South Wales,Clarence River,M,11,N,7' shark,
844,1938.12.27,1938,12,,,Unprovoked,Swimming,New South Wales,"North Beach, Belligen River",M,19,Y,unknown,
845,1938.10.05,1938,10,14.0,Afternoon,Provoked,Fishing,Queensland,Between Wynnum & St. Helena Island,M,18,N,"Tiger shark, 6'",tiger
846,1938.07.12,1938,7,,,Unprovoked,"Hardhat diving from Japanese pearling lugger, Reiyo Maru",Torres Strait,Off Bathurst Island,M,25,Y,unknown,
847,1938.06.08,1938,6,,,Unprovoked,Hardhat diving,New South Wales,Manly,M,unknown,N,6' shark,
848,1938.03.08,1938,3,,,Unprovoked,Canoe capsized by shark,Northern Territory,Liverpool River,M,unknown,N,unknown,
849,1938.01.21,1938,1,,,Provoked,Fishing,New South Wales,Tweed Heads,M,unknown,N," Tiger shark, 3'",tiger
850,1938.01.14,1938,1,14.0,Afternoon,Unprovoked,Diving off jetty,New South Wales,"Lady Martinï¿½s Beach, Sydney Harbor",M,24,N,Questionable incident,
851,1938.01.02,1938,1,,,Unprovoked,Surf skiing,New South Wales,Cronulla,M,unknown,N,unknown,
852,1938.00.00.b,1938,4,,,Unprovoked,Diving,Torres Strait,unknown,M,17,N,unknown,
853,1937.11.11,1937,11,,,Unprovoked,Diving for trochus,Torres Strait,Ota Reef,M,17,Y,12' shark,
854,1937.10.27.b,1937,10,17.0,Dusk,Unprovoked,Swimming ,Queensland,"Kirra Beach, Coolangatta",M,25,Y,Tiger shark,tiger
855,1937.10.27.a,1937,10,17.0,Dusk,Unprovoked,Swimming ,Queensland,"Kirra Beach, Coolangatta",M,18,Y,"Tiger shark,  3.6 m [11'9""], 850-kg [1874-lb] female, contained Girvan's remains ",tiger
856,1937.10.24.c,1937,10,,,Unprovoked,Swimming near jetty,New South Wales,Byron Bay ,M,16,N,2.4 m [8'] shark,
857,1937.10.24.a,1937,10,,,Unprovoked,Surf skiing,New South Wales,Byron Bay ,M,unknown,N,2.6 m [8.5'] shark,
858,1937.08.31,1937,8,11.0,Midday,Unprovoked,"Diving from the lugger San, operated by the Protector of the Aborigines",Torres Strait,"Mabuiag Island, between New Guinea & Australia",M,38,N,"Tiger shark, 9' to 10' ",tiger
859,1937.07.16.R,1937,7,,,Unprovoked,Pearl diving,Northern Territory,Elcho Island,M,unknown,Y,unknown,
860,1937.06.15.b,1937,6,,,Provoked,"Fishing from launch, fell into net with shark",New South Wales,"Wallamba River, near entrance to Wallis Lake",M,unknown,N,"Whaler shark, 4 m [13'] ",whaler
861,1937.05.15,1937,5,21.0,Night,Unprovoked,"Refused permission to cross on the ferry, he was swimming across the river",Queensland,"Ross River, Townsville",M,33,Y,2 days later a 600-lb shark was caught 100 yards from the site,
862,1937.03.26,1937,3,,,unknown,Bathing,New South Wales,South Cronulla,M,16,N,unknown,
863,1937.03.09,1937,3,,,unknown,Swimming,Victoria,Port Melbourne,M,43,Y,unknown,
864,1937.02.13,1937,2,15.0,Late afternoon,Unprovoked,Swimming,New South Wales,"Bar Beach, Newcastle",M,32,Y,White shark,white
865,1937.02.11,1937,2,,,Unprovoked,Swimming ashore after launch capsized,New South Wales,Kempsey,unknown,unknown,N,unknown,
866,1937.02.04,1937,2,3.0,Midnight,Boating,Fishing,New South Wales, Botany Bay ,unknown,unknown,N,unknown,
867,1937.02.03,1937,2,,,Provoked,Fishing,Queensland,Moreton Island,M,20,N,"3' ""blue nosed"" shark",bluenosed
868,1937.02.02,1937,4,21.0,Night,unknown,12 of the Penang's crew were returning to the ship when their 12' dinghy capsized,South Australia,Port Germein,M,unknown,Y,"15' shark seen with the man's body in its mouth, but shark involvement prior to death was not confirmed",
869,1937.01.27,1937,1,,,Provoked,Holding shark's tail ,New South Wales,"Lake Conjola, near Milton",M,18,N,"Grey nurse shark, 8'",nurse
870,1937.00.00,1937,4,,,Unprovoked,unknown,Torres Strait,unknown,M,unknown,N,unknown,
871,1936.12.19,1936,12,,,Boating,Sculling,Queensland,Brisbane River,unknown,unknown,N,3 m [10'] shark,
872,1936.12.15,1936,12,,,Provoked,Fishing for the shark that killed George Lundberg,New South Wales,Newcastle Harbor,unknown,unknown,N,unknown,
873,1936.12.12,1936,12,11.0,Midday,Unprovoked,Swimming,New South Wales,"Throsby Creek, Newcastle",M,15,Y,unknown,
874,1936.12.01,1936,12,,,Boating,Fishing,Victoria,Mordialloc,M,50,Y,Thought to involve a 12' white shark,white
875,1936.11.27,1936,11,,,Provoked,Spearfishing ,Torres Strait,Near Thursday Island,M,unknown,N,0.9 m [3']  shark,
876,1936.08.24,1936,8,,,Unprovoked,"Trochus diving, but floating on surface",Torres Strait,Near Mabuiag Island,M,unknown,N,Large tiger shark seen in the vicinity the following morning,tiger
877,1936.08.04,1936,8,,,Unprovoked,Pearl diving,Torres Strait,Bathurst Island,M,unknown,N,unknown,
878,1936.07.07,1936,7,,,Unprovoked,Diving,Torres Strait,Off Nepean Island,M,unknown,N,unknown,
879,1936.06.26,1936,6,,,Unprovoked,"Diving for trochus , but swimming on surface",Torres Strait,Nepean Island,M,16,Y,"Tiger shark, 2.4 m [8']",tiger
880,1936.04.22,1936,4,10.0,Morning,Unprovoked,Diving for trochus,Queensland,Arlington Reef near Cairns,M,16,N,"Tiger shark, 4.6 m [15'] ",tiger
882,1936.03.22,1936,3,,,Unprovoked,Among 31 survivors of crew from the sampan Fukulya Maru (which reached Thursday Island in rowing boat) was a man whose arm had been bitten off by shark. The sampan wrecked west of McArthur island ,Torres Strait,"Near Shelburne Bay, Queenland",M,unknown,N,unknown,
883,1936.03.19,1936,3,,,Unprovoked,Diving for trochus,Queensland,"Near Forbes Island, Barrier Reef",M,unknown,N,unknown,
884,1936.03.04.,1936,3,,,Boating,Rowing ,Northern Territory,Between Cape Hotham & Darwin (50 miles from Darwin),unknown,unknown,N,unknown,
885,1936.02.23,1936,2,,,Provoked,Touching the mouth of a supposedly dead shark,New South Wales,"Angourie, near Yamba",F,unknown,N,unknown,
886,1936.02.20..R,1936,2,,,Unprovoked,Sculling,Queensland,Brisbane River,M,unknown,N,10' shark,
887,1936.02.04,1936,2,15.0,Late afternoon,Unprovoked,Swimming,New South Wales,"South Steyne, Manly",M,14,Y,White shark,white
888,1936.01.22,1936,1,18.0,Nightfall,Unprovoked,"Swimming. Passer-by, Len Bedford, heard him shriek , saw shark leap from the water & swimmer disappeared",South Australia,"West Beach, near Adelaide",M,13,Y,White shark,white
889,1936.01.05,1936,1,,,unknown,Surfing,Queensland,"Main Beach, Southport",M,17,N,Shark involvement prior to death was not confirmed,
890,1936.01.00,1936,1,,,Provoked,Paddleskiing,New South Wales,North Bondi,M,unknown,N,2.3 m [7'] shark,
891,1936.00.00,1936,4,,,Unprovoked,Swimming ,Victoria,"Port Phillip Bay, Port Melbourne",M,unknown,Y,unknown,
892,1935.12.23,1935,12,,,Provoked,Cruising,Victoria,150 yards from the pier at Lorne,unknown,unknown,N,4.3 m [14'] shark,
893,1935.11.13,1935,11,,,Unprovoked,Diving?,Torres Strait,Barrier Reef near Innisfail,M,20,N,unknown,
894,1935.08.26,1935,8,21.0,Night,Unprovoked,"Fell overboard, hanging onto lifebuoy",Queensland,"At Flat Top, near Mackay",M,38,Y,3.7 m [12'] shark,
895,1935.08.13,1935,8,,,Unprovoked,Diving for beche-de-mer from lugger,Torres Strait,"Near Warrior Reefs, Queensland",M,unknown,Y,unknown,
896,1935.06.00.b,1935,6,,,Boating,unknown,South Australia,Off Port Broughton,unknown,unknown,N,unknown,
897,1935.05.12,1935,5,,,Unprovoked,Pearl diving,Torres Strait,On edge of reef near Warrior Island,M,unknown,N,1.8 m [6'] shark,
898,1935.04.25,1935,4,,,unknown,"Disappeared 11 days earlier, probable homicide victim",New South Wales,Coogee,M,40,N,Tiger shark,tiger
899,1935.03.30,1935,3,14.0,Afternoon,Unprovoked,Diving from dinghy for trochus shell,Queensland,Barrier Reef off Mackay,M,unknown,N,unknown,
