,Case,Year,Month,time_hr,time_cat,Type,Activity,Area,Location,Sex,Age,Fatal,Species,Species_Extracted
267,2006.02.12.a,2006,2,12.0,Midday,Boat,Fishing,South Australia,"Brighton Beach, Adelaide",M,unknown,N,4.5 m white shark,white
268,2006.01.15,2006,1,11.0,Midday,Unprovoked,Scuba diving,Western Australia,"Off City Beach, Perth",M,52,N,3.5 m white shark,white
269,2006.01.07,2006,1,17.0,Dusk,Unprovoked,Swimming,Queensland,"Amity Point, North Stradbroke Island",F,21,Y,Bull shark,bull
270,2005.12.11,2005,12,11.0,Midday,Unprovoked,Spearfishing,Queensland,St. Crispin Reef,M,44,N,Whitetip reef shark,reef
271,2005.12.05.R,2005,12,15.0,Late afternoon,Boat,Fishing,South Australia,"Middle Beach, 40 km north of Adelaide",unknown,unknown,N,4 m white shark,white
272,2005.11.25.c,2005,11,,,Boat,Fishing,Victoria,"6 km off Collendina, south of Melbourne",unknown,unknown,N,3 m white shark,white
273,2005.11.25.b,2005,11,18.0,Nightfall,Unprovoked,Surfing,Victoria,Flinders,M,18,N,1.8 m shark,
274,2005.09.27.R,2005,9,,,Unprovoked,Surfing,New South Wales,Arakoon's Little Bay,M,28,N,"Tiger shark, 3 m ",tiger
275,2005.09.24,2005,9,12.0,Midday,Unprovoked,Surfing,South Australia,Kangaroo Island,M,26,N,14' to 16' white shark,white
276,2005.09.23,2005,9,8.0,Morning,Unprovoked,Surfing,Western Australia,"Scarborough Beach, Perth",M,44,N,Bronze whaler shark,whaler
277,2005.09.07,2005,9,17.0,Dusk,Unprovoked,Standing,New South Wales,"Park Beach, Coff's Harbour",M,15,N,unknown,
278,2005.09.04.a,2005,9,15.0,Late afternoon,Unprovoked,Surfing,South Australia,"Fishery Bay, Eyre Peninsula",M,40,N,4 m [13'] white shark,white
279,2005.08.24.b,2005,8,16.0,Late afternoon,Unprovoked,Scuba diving,South Australia,Glenelg ,M,23,Y,White shark,white
280,2005.05.15,2005,5,,,Unprovoked,Spearfishing,Queensland,50 km east of Townsville,M,unknown,N,Blacktip shark,blacktip
281,2005.04.25,2005,4,23.0,Late night,Provoked,Fishing,New South Wales,Bermagui,M,25,N,"Mako shark, 1.5 m [5'] ",mako
282,2005.04.17.R,2005,4,,,Unprovoked,unknown,New South Wales,Crookhaven,unknown,unknown,N,unknown,
